status,path,change
modified,VERSION,"版本升级为 0.8.3"
modified,platform_app/service.py,"修复模型结果部分缺失时人工已补齐仍被 PREDICTION_INCOMPLETE 拒绝；增加补全确认与来源审计"
modified,web/admin.js,"识别缺失外框或内框并显示全人工补齐二次确认；提交 manual_completion_confirmed"
modified,web/admin.html,"静态资源版本号升级为 0.8.3，避免浏览器继续使用旧审核脚本"
modified,web/enterprise.html,"静态资源版本号升级为 0.8.3"
modified,tests/test_platform_regressions.py,"增加规整卡牌原始预测不完整、人工补齐后可安全写入训练池的回归测试"
modified,ml_backend/ptcg_inference.py,"在高置信外框几何失败且候选触边时调用受门控物理边恢复；流水线版本升级"
modified,ml_backend/model_manifest.json,"记录 v0.8.3 流水线版本、恢复策略和生产历史回放证据"
added,ml_backend/card_quality_processor/outer_boundary_contact_recovery.py,"Lab 全分辨率长边扫描、触边重定位和原几何门控复验"
added,tests/test_outer_boundary_contact_recovery.py,"覆盖成功恢复、弱证据拒绝和非目标错误不受影响"
added,README_不完整预测人工补全修复_20260816.md,"根因、修复内容、部署及验证说明"
added,README_规整卡牌检测失败修复_20260816.md,"模型失败根因、算法门控、单图复测和历史回放说明"
modified,DEPLOYMENT_CHANGESET_20260816.txt,"汇总 v0.8.2 平台修复和 v0.8.3 推理修复"
modified,CHANGED_FILES_20260816.csv,"本次逐文件变更清单"
